Frecuencia [Hz],Nivel [dBr]
5.0,54.1251052347435
6.91244082704935,54.2454916648115
9.55636763749175,54.3565909451366
13.2115651631382,54.434587512058
18.2648324845799,54.4553142201481
25.2509147531255,54.4756394052671
34.9090908119695,54.4844935521844
48.2614049127663,54.4954348372374
66.7208211379531,54.4925197509967
92.2407456096489,54.4908303958952
127.521739173922,54.4929815095523
176.297295240432,54.475748328928
243.728924263667,54.4632926180509
336.952353362598,54.4460399287178
465.832640830796,54.4104181459291
644.008113010202,54.3508026140697
890.333594664547,54.2474296330291
1230.87565789056,54.063088832122
1701.67103012479,53.7247959224559
2352.54006056835,53.0843844773744
3252.35879238837,51.8084904196442
4496.34754014365,49.1794863511266
6216.14726181838,44.4846765804082
8593.75002390888,37.8603136272947
11880.7577045448,30.2450516480846
16425.0069226354,22.1825994771301
22707.3776873186,13.9300622716383
31392.6809202101,5.56474568419588
43400.0098526787,-2.82655735423714
60000.0,-10.8054209796595
