Frecuencia [Hz],Fase [deg]
5.0,-0.523170471191406
6.05645648479462,0.120697021484375
7.33613303044216,-0.3975830078125
8.88619409310748,-0.0189208984375
10.7637695680689,0.0424079895019531
13.0380604002731,-0.53656005859375
15.7928890920756,-0.493255615234375
19.1297891110687,-0.525909423828125
23.1717470628972,-0.619010925292969
28.0677355526208,-0.813156127929688
33.9982038002342,-0.970710754394531
41.1817283754594,-1.18947601318359
49.8830691749204,-1.48046398162842
60.422927557181,-1.78640747070313
73.1897662867929,-2.19340515136719
88.6541269296498,-2.66630148887634
107.385972389377,-3.2271728515625
130.075693770723,-3.90536499023437
157.559555810371,-4.723876953125
190.850518705816,-5.71208953857422
231.175572328451,-6.90579986572266
280.020958830951,-8.34744262695313
339.186950398024,-10.089111328125
410.854201059165,-12.1926822662354
497.664118061978,-14.7334890365601
602.816215017212,-17.8024597167969
730.186034916069,-21.5085372924805
884.467989254779,-25.9842987060547
1071.34837782307,-31.3888816833496
1297.71496606815,-37.9155120849609
1571.91084433169,-45.7967872619629
1904.04192533433,-55.3150634765625
2306.34941320239,-66.8030853271484
2793.66097195837,-80.6453628540039
3383.93722198699,-97.0777587890625
4098.93370644819,-116.048835754395
4965.00272543228,-136.758911132812
6014.06459069346,-157.473892211914
7284.78409805581,-176.433166503906
8823.99557819977,167.227508544922
10688.4290482774,153.712615966797
12946.8010843414,142.637725830078
15682.3474769211,133.547576904297
18995.8910146802,126.091827392578
23009.5574640624,119.932800292969
27871.276703095,114.740600585938
33760.2349055929,110.295974731445
40893.4787244336,106.26668548584
49533.9148812813,102.418991088867
60000.0000000002,98.262336730957
